repository,pr_number,status,files_changed,additions,deletions,analysis_time_hours,description_length,participants,comments_count,reviews_count
public-apis/public-apis,4257,closed,,,,0.07277777777777777,0,1,0,0
public-apis/public-apis,4256,closed,,,,2.948888888888889,0,1,0,0
public-apis/public-apis,4241,closed,,,,0.18222222222222223,0,1,0,0
public-apis/public-apis,4007,closed,,,,4827.321944444445,0,1,0,0
public-apis/public-apis,4232,closed,,,,101.23083333333334,0,1,0,0
public-apis/public-apis,3957,closed,,,,5983.858055555555,0,1,0,0
public-apis/public-apis,4176,closed,,,,624.7802777777778,0,1,0,0
public-apis/public-apis,4225,closed,,,,25.00888888888889,0,1,0,0
public-apis/public-apis,4224,closed,,,,0.1363888888888889,0,1,0,0
public-apis/public-apis,4218,closed,,,,0.014444444444444444,0,1,0,0
public-apis/public-apis,4215,closed,,,,0.05583333333333333,0,1,0,0
public-apis/public-apis,4213,closed,,,,0.06027777777777778,0,1,0,0
public-apis/public-apis,4208,closed,,,,0.005,0,1,0,0
public-apis/public-apis,4206,closed,,,,0.003611111111111111,0,1,0,0
public-apis/public-apis,4205,closed,,,,0.01,0,1,0,0
public-apis/public-apis,3487,closed,,,,17301.44,0,1,0,0
public-apis/public-apis,4186,closed,,,,130.69305555555556,0,1,0,0
public-apis/public-apis,4195,closed,,,,45.30083333333334,0,1,0,0
public-apis/public-apis,4114,closed,,,,1463.1358333333333,0,1,0,0
public-apis/public-apis,4196,closed,,,,0.04472222222222222,0,1,0,0
public-apis/public-apis,4103,closed,,,,1746.8502777777778,0,1,0,0
public-apis/public-apis,4185,closed,,,,0.02638888888888889,0,1,0,0
public-apis/public-apis,4174,closed,,,,57.73361111111111,0,1,0,0
public-apis/public-apis,4136,closed,,,,791.8958333333334,0,1,0,0
public-apis/public-apis,3807,closed,,,,8594.263611111111,0,1,0,0
public-apis/public-apis,4168,closed,,,,0.03111111111111111,0,1,0,0
public-apis/public-apis,194,merged,,,,0.015833333333333335,0,1,0,0
public-apis/public-apis,3102,merged,,,,3.9994444444444444,0,1,0,0
public-apis/public-apis,4154,closed,,,,0.034444444444444444,0,1,0,0
