id,owner,Repo,Estrelas,Idade (anos),Total releases,Dias desde última atualização,Linguagem primária
389,hongyangAndroid,okhttputils,6863,10.07,0,0,Java
390,Meituan-Dianping,walle,6849,8.67,1,0,Java
391,macrozheng,springcloud-learning,6828,6.01,0,0,Java
392,rabbitmq,rabbitmq-tutorials,6804,14.98,0,1,Java
393,zo0r,react-native-push-notification,6787,9.75,35,6,Java
394,junit-team,junit-framework,6782,10.67,96,0,Java
395,smuyyh,BookReader,6780,9.11,0,0,Java
396,Angel-ML,angel,6776,8.38,19,7,Java
397,CoderLeixiaoshuai,java-eight-part,6773,4.9,0,0,Java
398,guardianproject,haven,6727,8.53,37,1,Java
399,markzhai,AndroidPerformanceMonitor,6725,9.65,0,0,Java
400,getActivity,AndroidProject,6718,6.89,17,1,Java
401,gzu-liyujiang,AndroidPicker,6713,9.9,57,0,Java
402,fuzhengwei,itstack-demo-design,6711,5.31,0,0,Java
403,zouzg,mybatis-generator-gui,6706,9.35,16,7,Java
404,527515025,springBoot,6699,8.85,0,0,Java
405,spring-projects,spring-ai,6686,2.21,2,0,Java
406,hongyangAndroid,AndroidAutoLayout,6675,9.82,0,0,Java
407,Meituan-Dianping,Leaf,6667,6.75,0,1,Java
408,apache,storm,6651,11.85,5,6,Java
409,yanzhenjie,AndPermission,6647,9.0,0,1,Java
410,Col-E,Recaf,6642,8.13,170,0,Java
421,MuntashirAkon,AppManager,6500,5.28,76,0,Java
422,FongMi,TV,6482,3.22,0,0,Java
423,getActivity,XXPermissions,6462,7.24,72,0,Java
424,traccar,traccar,6441,13.41,63,0,Java
425,wxiaoqi,Spring-Cloud-Platform,6433,8.3,3,0,Java
426,vinc3m1,RoundedImageView,6426,12.56,19,0,Java
427,ArthurHub,Android-Image-Cropper,6424,10.66,32,0,Java
428,pig-mesh,pig,6416,6.05,19,0,Java
429,hazelcast,hazelcast,6391,13.48,200,0,Java
430,AsyncHttpClient,async-http-client,6391,14.52,7,0,Java
411,raphw,byte-buddy,6607,11.8,304,0,Java
412,quartz-scheduler,quartz,6604,9.52,5,0,Java
413,GrenderG,Toasty,6601,8.65,19,0,Java
414,apache,hertzbeat,6599,3.6,6,0,Java
415,apache,zeppelin,6557,10.47,0,0,Java
416,JesusFreke,smali,6537,12.97,0,2,Java
417,NLPchina,ansj_seg,6530,13.02,3,7,Java
418,jOOQ,jOOQ,6518,14.41,102,0,Java
419,ximsfei,Android-skin-support,6507,8.67,0,0,Java
420,processing,processing,6505,12.64,48,1,Java
431,aa112901,remusic,6360,9.47,0,0,Java
432,sshahine,JFoenix,6345,10.01,0,0,Java
433,vespa-engine,vespa,6343,9.28,238,0,Java
434,wasabeef,richeditor-android,6333,10.46,0,0,Java
435,joelittlejohn,jsonschema2pojo,6331,12.23,63,4,Java
436,micronaut-projects,micronaut-core,6296,7.52,311,0,Java
437,amitshekhariitbhu,from-java-to-kotlin,6294,8.31,0,3,Java
438,koush,ion,6275,12.31,0,0,Java
439,lightbend,config,6259,13.77,2,0,Java
440,648540858,wvp-GB28181-pro,6258,4.82,1,0,Java
